Date,Platja,Municipi o comarca,Sexe,Age,Nationality or undocumented,Baywatch (Surveillance),Flag,Morts,Extra info
16/06/2024,Platja Santa Margarida de Roses,Alt Empordà,Home,65,espanyola,sí,Groga,1,16/06/2024: platja Santa Margarida de Roses. Home de 65 anys i nacionalitat espanyola. Vigilància i bandera groga per onatge
21/06/2024,Platja de Creixell (Tarragonès,Tarragonès,Home,77,espanyola,Sense servei de vigilància,No,1,21/06/2024: Platja de Creixell (Tarragonès). Home de 77 anys i nacionalitat espanyola. El servei de vigilància no comença fins el 26 de juny.
24/06/2024,Platja de la Ribera de Sitges (Garraf,Garraf,Home,55,desconeguda,No havia començat,Desconeguda,1,"24/06/2024: platja de la Ribera de Sitges (Garraf). Home de 55 anys tret de l’aigua inconscient, reanimació sense èxit. No vigilància. Ha passat de matinada."
25/06/2024,Platja de la Gola del Ter,Baix Empordà,Home,74,espanyola,Sí,Verda,1,"25/06/2024: Platja de la Gola del Ter, a Torroella de Montgrí (Baix Empordà). Home de 74 anys i nacionalitat espanyola. Platja vigilada i bandera verda."
27/06/0202,Platja de Torre Valentina a Calonge i Sant Antoni (Baix E,Baix Empordà,Home,54,russa,Desconegut,Desconeguda,1,27/06/02024: platja de Torre Valentina a Calonge i Sant Antoni (Baix Empordà). Home de 54 anys de nacionalitat russa. Primer avís al 112 a les 21.19h
17/07/2024,Platja Estany Gelat (Mont-roig del Camp,Baix Camp,Home,77,espanyola,Sí,Verda,1,"17/07/2024: home 77 anys de nacionalitat espanyola, platja Estany Gelat (Mont-roig del Camp, Baix Camp), vigilada i amb bandera verda"
20/07/2024,Platja de Portbou (Alt Empordà,Alt Empordà,Home,45,francesa,Sense servei de vigilància,No,1,20/07/2024: Home de 45 anys de nacionalitat francesa. Platja de Portbou (Alt Empordà). Platja no vigilada.
21/07/2024,Platja de la Llosa (Cambrils,Baix Camp,Dona,76,espanyola,Desconegut,Groga,1,"21/07/2024: Platja de la Llosa (Cambrils), dona        espanyola de 76 anys, amb bandera groga, traslladada critica al Hospital de St. Joan de Reus, on va morir"
21/07/2024,Platja de Cap de Sant Pere (Cambrils,Baix Camp,Home,36,neerlandesa,Desconegut,Groga,1,"21/07/2024: platja de Cap de Sant Pere (Cambrils) amb bandera groga, home de 36 anys i nacionalitat neerlandesa, traslladat al Hospital Joan XXIII en estat crític, on va morir"
25/07/2024,Far de Sarnella (Port de la Selva),Alt Empordà,Home,73,francesa,Sense servei de vigilància,No,1,"25/07/2024: home de 73 anys de nacionalitat francesa, a la zona del far de Sarnella (Port de la Selva), platja no vigilada, maniobra RCP a lloc sense èxit, SEM ha activat una ambulància medicalitzada i una ambulància de suport vital bàsic"
